time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-10-07T22:08:35.653Z,-18.0035,-177.9698,601.99,4.5,mb,,41,3.677,0.85,us,us6000c6kf,2020-10-07T22:26:53.040Z,"287 km E of Levuka, Fiji",earthquake,12.5,8.7,0.049,121,reviewed,us,us
2020-10-07T19:56:13.236Z,26.5303,126.4818,116.47,4.4,mb,,71,1.63,0.65,us,us6000c7t5,2020-10-14T14:51:51.040Z,"124 km WNW of Naha, Japan",earthquake,9.1,7.5,0.091,35,reviewed,us,us
2020-10-07T18:31:56.868Z,34.2032,24.8642,10,4.2,mb,,177,1.082,1.05,us,us6000c7sy,2020-10-14T14:38:52.040Z,"92 km SSW of Pýrgos, Greece",earthquake,3.8,2,0.216,6,reviewed,us,us
2020-10-07T18:27:28.027Z,0.3473,125.7977,40.18,4.9,mb,,55,1.624,0.91,us,us6000c6ib,2020-10-13T18:48:06.040Z,"144 km SE of Tondano, Indonesia",earthquake,4.2,6.5,0.083,45,reviewed,us,us
2020-10-07T18:24:34.620Z,18.174,-64.1781,10,5.3,ml,30,197,1.671,0.57,pr,pr2020281016,2020-10-13T18:40:50.040Z,"67 km ESE of Cruz Bay, U.S. Virgin Islands",earthquake,4.33,31.61,0.12,11,reviewed,pr,pr
2020-10-07T18:04:18.158Z,23.4204,142.9726,33.3,4.9,mb,,62,13.086,0.93,us,us6000c6ik,2020-10-13T18:52:46.040Z,"Volcano Islands, Japan region",earthquake,6,4.5,0.049,130,reviewed,us,us
2020-10-07T16:30:54.417Z,-10.7518,164.9676,45.3,4.5,mb,,136,5.112,0.47,us,us6000c7t6,2020-10-14T23:00:02.040Z,"90 km W of Lata, Solomon Islands",earthquake,11.2,9.5,0.192,8,reviewed,us,us
2020-10-07T16:18:08.290Z,32.3518,80.5666,10,4.4,mb,,145,6.266,0.84,us,us6000c6hc,2020-10-14T22:48:55.040Z,"220 km NNE of Joshīmath, India",earthquake,9.5,1.9,0.115,22,reviewed,us,us
2020-10-07T15:29:02.519Z,-30.5536,-178.1954,51.56,4.4,mb,,130,1.324,0.59,us,us6000c7sz,2020-10-14T22:38:31.040Z,"Kermadec Islands, New Zealand",earthquake,12.8,8.5,0.162,11,reviewed,us,us
2020-10-07T15:22:15.683Z,8.6939,125.9612,10,4.3,mb,,139,1.657,1.2,us,us6000c7t1,2020-10-14T22:33:03.040Z,"7 km NNW of Los Arcos, Philippines",earthquake,14.5,1.3,0.161,11,reviewed,us,us
2020-10-07T14:14:25.981Z,19.0317,-70.3648,86.48,4.4,mb,,62,0.522,0.63,us,us6000c6fb,2020-10-13T14:36:35.300Z,"6 km SE of Sabana del Puerto, Dominican Republic",earthquake,4.2,5.8,0.101,28,reviewed,us,us
2020-10-07T12:36:28.856Z,-62.3265,-58.3201,11.75,4.7,mb,,75,0.183,0.47,us,us6000c6ep,2020-10-07T12:52:31.040Z,"South Shetland Islands",earthquake,5.8,4,0.113,24,reviewed,us,us
2020-10-07T08:59:30.427Z,61.6435,-151.0481,66.5,4.1,ml,,,,1.04,ak,ak020cwv4p5l,2020-10-09T02:32:51.290Z,"30 km WNW of Susitna, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2020-10-07T07:52:24.376Z,-1.2884,-77.5972,152.36,4.3,mb,,143,8.044,0.58,us,us6000c6d3,2020-10-07T08:43:13.040Z,"40 km SE of Tena, Ecuador",earthquake,15.7,12.5,0.071,56,reviewed,us,us
2020-10-07T06:50:13.081Z,-10.4971,120.9259,51.6,4.9,mb,,75,2.257,1.2,us,us6000c6cn,2020-10-07T07:11:56.040Z,"117 km SE of Waingapu, Indonesia",earthquake,7,6.6,0.096,34,reviewed,us,us
2020-10-07T06:28:23.049Z,-19.267,-173.549,133.19,4.2,mb,,100,3.428,0.82,us,us6000c7sh,2020-10-14T05:49:57.040Z,"82 km SE of Neiafu, Tonga",earthquake,13.1,19,0.215,6,reviewed,us,us
2020-10-07T06:13:57.747Z,-5.9822,130.6131,128.45,4.5,mb,,74,2.1,0.97,us,us6000c6cd,2020-10-07T06:35:37.040Z,"240 km W of Tual, Indonesia",earthquake,6.5,7.6,0.116,22,reviewed,us,us
2020-10-07T05:55:55.923Z,-17.6888,-178.6262,520.92,4.1,mb,,153,3.165,1.07,us,us6000c7sg,2020-10-14T05:33:07.040Z,"Fiji region",earthquake,21,16.6,0.134,15,reviewed,us,us
2020-10-07T05:34:23.054Z,-28.994,-71.1249,52.68,4.7,mwr,,98,0.372,0.77,us,us6000c6bs,2020-10-07T12:12:02.464Z,"58 km SW of Vallenar, Chile",earthquake,5.9,7.1,0.051,37,reviewed,us,us
2020-10-07T05:10:08.309Z,-27.4602,-176.9088,88.75,4.2,mb,,137,1.992,1.16,us,us6000c7sf,2020-10-13T13:54:29.040Z,"Kermadec Islands region",earthquake,12,3.7,0.236,5,reviewed,us,us
2020-10-07T01:34:15.836Z,51.332,-178.3596,48.36,4.9,mb,,139,0.36,1.24,us,us6000c69l,2020-10-07T09:36:44.326Z,"133 km WSW of Adak, Alaska",earthquake,4.2,5.9,0.027,424,reviewed,us,us
2020-10-07T00:35:53.264Z,-11.9101,166.7095,138.83,4.8,mb,,118,3.548,0.67,us,us6000c695,2020-10-14T22:23:12.040Z,"164 km SE of Lata, Solomon Islands",earthquake,11.1,6.3,0.081,47,reviewed,us,us
2020-10-07T00:32:06.980Z,9.6359,126.1821,18.26,4.4,mb,,176,2.618,0.81,us,us6000c7s9,2020-10-14T22:21:04.040Z,"15 km SSE of Union, Philippines",earthquake,13.5,6.5,0.123,19,reviewed,us,us
2020-10-06T23:03:02.920Z,17.9193,-66.8908,6,4.05,md,26,203,0.057,0.15,pr,pr2020280013,2020-10-14T04:28:31.356Z,"6 km SSE of Guánica, Puerto Rico",earthquake,0.51,0.27,0.08,11,reviewed,pr,pr
2020-10-06T23:02:06.949Z,34.3036,137.9258,295.63,4.6,mb,,76,0.429,0.81,us,us6000c68f,2020-10-14T04:26:35.040Z,"42 km SW of Ōyama, Japan",earthquake,7.3,4.3,0.05,118,reviewed,us,us
2020-10-06T22:06:03.895Z,9.7346,126.3234,10,4.4,mb,,131,2.748,0.98,us,us6000c73u,2020-10-14T04:44:55.040Z,"23 km E of Union, Philippines",earthquake,6.2,1.9,0.148,13,reviewed,us,us
2020-10-06T22:02:54.378Z,25.643,94.7776,61.51,4.6,mb,,54,1.472,0.84,us,us6000c688,2020-10-14T04:49:12.993Z,"27 km E of Phek, India",earthquake,3.7,6.3,0.062,78,reviewed,us,us
2020-10-06T21:45:21.823Z,9.9221,126.4609,10,4.4,mb,,129,2.965,1.16,us,us6000c73p,2020-10-14T04:54:18.040Z,"40 km E of Pilar, Philippines",earthquake,11.1,1.9,0.13,17,reviewed,us,us
2020-10-06T21:29:06.790Z,9.7633,126.3368,10,4.6,mb,,126,2.779,1.15,us,us6000c73n,2020-10-14T05:02:41.040Z,"24 km E of Union, Philippines",earthquake,9.9,1.9,0.089,37,reviewed,us,us
2020-10-06T21:25:27.921Z,36.8522,71.6121,110.79,4.1,mb,,102,2.631,0.99,us,us6000c680,2020-10-14T05:04:59.198Z,"14 km N of Ishqoshim, Tajikistan",earthquake,9.7,9.6,0.123,18,reviewed,us,us
2020-10-06T21:18:04.990Z,9.7097,126.3434,10,4.5,mb,,127,2.729,0.93,us,us6000c73t,2020-10-14T04:22:35.040Z,"26 km ESE of Union, Philippines",earthquake,6.6,1.9,0.121,20,reviewed,us,us
2020-10-06T19:42:42.940Z,-24.0085,-67.6865,174.08,4.2,mb,,89,1.144,1.16,us,us6000c67b,2020-10-06T22:05:37.040Z,"132 km SSE of San Pedro de Atacama, Chile",earthquake,8.1,11.1,0.263,4,reviewed,us,us
2020-10-06T19:11:34.362Z,-7.2969,39.7801,10,4.6,mb,,67,5.201,0.41,us,us6000c679,2020-10-06T21:49:17.040Z,"62 km ESE of Vikindu, Tanzania",earthquake,10.5,1.9,0.089,38,reviewed,us,us
2020-10-06T17:21:28.920Z,35.4398,22.3584,46.14,4.4,mb,,182,1.77,1.18,us,us6000c66h,2020-10-06T17:53:58.040Z,"97 km SW of Kýthira, Greece",earthquake,7.4,9.6,0.085,40,reviewed,us,us
